function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,power_usage_function_nmap,replica_nmap,overloaded_function_nmap,medium_latency_function_nmap,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,power_usage_function_env,replica_env,overloaded_function_env,medium_latency_function_env,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,0,1.000,0.048,5303296.000,nan,1,0,0,nmap,20,1.000,82.034,3342336.000,nan,2,0,127096491,env,200,1.000,14.387,10446336.000,nan,2,0,6074650,35.533,143.500,4751095808.000,4742863872.000,40.101,40.051,nan,nan,30,0
figlet,0,1.000,0.043,5308245.333,nan,1,0,0,nmap,40,1.000,152.540,7405568.000,nan,2,0,126471917,env,0,1.000,0.956,10433536.000,nan,1,0,0,33.333,191.117,4710817792.000,4717641216.000,39.867,39.908,nan,nan,25,0
figlet,0,1.000,0.049,5418276.571,nan,1,0,0,nmap,40,1.000,167.720,3280281.600,nan,2,0,134508326,env,0,1.000,0.046,10432512.000,nan,1,0,0,33.533,186.333,4704833536.000,4702262272.000,39.820,39.804,nan,nan,30,0
figlet,0,1.000,0.046,5426517.333,nan,1,0,0,nmap,40,1.000,161.953,23155200.000,nan,2,0,114119460,env,0,1.000,0.044,9322496.000,nan,1,0,0,33.667,180.350,4701396992.000,4707707392.000,39.801,39.839,nan,nan,30,0
figlet,0,1.000,0.046,5327189.333,nan,1,0,0,nmap,40,1.000,162.955,2572288.000,nan,2,0,219728016,env,20,1.000,1.660,9721173.333,nan,2,0,9203847,34.800,179.767,4709595136.000,4717620736.000,39.860,39.903,nan,nan,30,0
figlet,0,1.000,0.046,5351424.000,nan,1,0,0,nmap,40,1.000,162.260,3161600.000,nan,2,0,138923965,env,20,1.000,1.646,10444800.000,nan,2,0,8712671,36.400,200.601,4758310912.000,4760177152.000,40.152,40.162,nan,nan,25,0
figlet,0,1.000,0.044,5409450.667,nan,1,0,0,nmap,40,1.000,156.870,30018730.667,nan,2,0,163990544,env,20,1.000,1.703,10357418.667,nan,2,0,8429918,32.600,184.700,4758427648.000,4751154688.000,40.147,40.101,nan,nan,30,0
figlet,0,1.000,0.045,5413888.000,nan,1,0,0,nmap,40,1.000,167.497,2727936.000,nan,2,0,885909317,env,40,1.000,3.333,10458624.000,nan,2,0,9502677,32.333,190.217,4749047808.000,4794646016.000,40.091,40.362,nan,nan,30,0
figlet,0,1.000,0.047,5488640.000,nan,1,0,0,nmap,40,1.000,169.499,3472554.667,nan,2,0,396196889,env,40,1.000,3.133,10471936.000,nan,1,0,9719674,34.333,210.217,4800610304.000,4818418176.000,40.409,40.514,nan,nan,25,0
figlet,0,1.000,0.044,5548597.638,nan,1,0,0,nmap,40,1.000,177.719,3520546.133,nan,2,0,1707530219,env,40,1.000,3.412,10297173.333,nan,2,0,9815510,34.133,200.483,4800245760.000,4898885120.000,40.404,40.992,nan,nan,30,0
