function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,power_usage_function_nmap,replica_nmap,overloaded_function_nmap,medium_latency_function_nmap,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,power_usage_function_env,replica_env,overloaded_function_env,medium_latency_function_env,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,0,1.000,0.062,9237674.667,nan,1,0,0,nmap,0,1.000,0.076,4486382.933,nan,1,0,0,env,200,1.000,16.797,2864771.657,nan,2,0,15460636,38.333,95.600,7503726592.000,7505111552.000,88.601,88.617,nan,nan,30,0
figlet,0,1.000,0.053,9160313.905,nan,1,0,0,nmap,0,1.000,0.064,4916770.133,nan,1,0,0,env,200,1.000,19.586,2375680.000,nan,2,0,14685392,42.733,96.100,7495096320.000,7495572480.000,88.491,88.494,nan,nan,45,0
figlet,0,1.000,0.064,7596305.067,nan,1,0,0,nmap,20,1.000,82.590,271893026.133,nan,1,0,13866578701,env,0,1.000,0.122,2646999.040,nan,1,0,0,40.600,128.747,7492653056.000,7707765555.200,88.462,91.049,nan,nan,30,1
figlet,0,1.000,0.065,6744746.667,nan,1,0,0,nmap,20,0.993,80.709,261399870.578,nan,2,0,12570728708,env,0,1.000,0.119,9424554.667,nan,1,0,0,41.400,145.422,7451412480.000,7689971712.000,88.042,90.923,nan,nan,85,1
figlet,0,1.000,0.075,6705787.855,nan,1,0,0,nmap,20,0.797,74.902,246564969.326,nan,2,1,14111863036,env,0,1.000,0.081,9032226.133,nan,1,0,0,39.400,132.667,7479678976.000,7689018163.200,88.397,90.914,nan,nan,45,1
figlet,20,1.000,3.260,10181461.333,nan,1,0,8649188,nmap,0,1.000,0.070,2891776.000,nan,1,0,0,env,0,1.000,0.133,8648362.667,nan,1,0,0,41.400,48.817,7410972672.000,7411428352.000,87.560,87.564,nan,nan,70,0
figlet,20,1.000,3.104,5093649.067,nan,1,0,6883174,nmap,0,1.000,0.065,9415850.667,nan,1,0,0,env,0,1.000,0.059,10911402.667,nan,1,0,0,41.000,47.567,7409954816.000,7402918912.000,87.551,87.462,nan,nan,45,0
figlet,20,1.000,2.982,14866944.000,nan,2,0,7566837,nmap,0,1.000,0.062,9669120.000,nan,1,0,0,env,0,1.000,0.093,11145216.000,nan,1,0,0,37.467,48.783,7411154944.000,7408078848.000,87.559,87.519,nan,nan,40,0
figlet,20,1.000,3.081,2821734.400,nan,2,0,10868861,nmap,0,1.000,0.062,9866752.000,nan,1,0,0,env,20,1.000,2.282,13356612.267,nan,2,0,9046871,38.867,56.383,7416780800.000,7418217984.000,87.623,87.638,nan,nan,30,0
figlet,20,1.000,3.228,14848682.667,nan,1,0,6625957,nmap,0,1.000,0.064,10010453.333,nan,1,0,0,env,20,1.000,2.543,5054464.000,nan,1,0,6087064,40.133,52.417,7422963712.000,7420186112.000,87.676,87.642,nan,nan,75,0
