function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,power_usage_function_shasum,replica_shasum,overloaded_function_shasum,medium_latency_function_shasum,function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,power_usage_function_nmap,replica_nmap,overloaded_function_nmap,medium_latency_function_nmap,function_curl,rate_function_curl,success_rate_function_curl,cpu_usage_function_curl,ram_usage_function_curl,power_usage_function_curl,replica_curl,overloaded_function_curl,medium_latency_function_curl,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
shasum,0,1.000,0.090,5786560.610,nan,1,0,0,nmap,0,1.000,0.090,5625734.095,nan,1,0,0,curl,60,1.000,50.756,27623277.714,nan,2,0,378579475,65.733,142.000,6009573376.000,6019579392.000,27.719,27.759,nan,nan,25,0
shasum,0,1.000,0.088,6040576.000,nan,1,0,0,nmap,0,1.000,0.092,5817856.000,nan,1,0,0,curl,60,1.000,44.584,3338240.000,nan,2,0,376818685,66.333,137.367,6009210880.000,6018890240.000,27.717,27.756,nan,nan,30,0
shasum,0,1.000,0.097,6217728.000,nan,1,0,0,nmap,0,1.000,0.088,6009651.200,nan,1,0,0,curl,80,1.000,49.378,10633318.400,nan,2,0,377249347,67.867,143.133,5980389376.000,5992305664.000,27.603,27.650,nan,nan,30,0
shasum,0,1.000,0.077,6415837.867,nan,1,0,0,nmap,0,1.000,0.085,6168576.000,nan,1,0,0,curl,80,1.000,57.087,32943908.571,nan,1,0,380102636,65.267,152.700,5886351360.000,5914011136.000,27.224,27.334,nan,nan,25,0
shasum,0,1.000,0.086,6660949.333,nan,1,0,0,nmap,0,1.000,0.078,6375765.333,nan,1,0,0,curl,80,1.000,53.378,4125525.333,nan,2,0,381239782,61.333,148.983,5958297600.000,5967814144.000,27.511,27.548,nan,nan,30,0
shasum,0,1.000,0.081,7238314.667,nan,1,0,0,nmap,0,1.000,0.082,6659774.171,nan,1,0,0,curl,100,1.000,57.190,39148544.000,nan,2,0,380492818,63.667,151.700,5949343744.000,5962834432.000,27.478,27.530,nan,nan,30,0
shasum,0,1.000,0.078,7199744.000,nan,1,0,0,nmap,0,1.000,0.080,7272277.333,nan,1,0,0,curl,100,1.000,64.523,3932672.000,nan,1,0,375589527,62.867,159.850,5972180992.000,5987481088.000,27.571,27.632,nan,nan,25,0
shasum,0,1.000,0.080,5717504.000,nan,1,0,0,nmap,0,1.000,0.083,7088956.952,nan,1,0,0,curl,100,1.000,60.776,39429290.667,nan,2,0,380693386,60.733,154.167,5865535488.000,5881810944.000,27.145,27.208,nan,nan,30,0
shasum,0,1.000,0.089,5789559.467,nan,1,0,0,nmap,0,1.000,0.076,5635481.600,nan,1,0,0,curl,120,1.000,66.453,3810076.444,nan,2,0,376510116,63.343,158.663,5890695168.000,5907533312.000,27.246,27.311,nan,nan,30,0
shasum,0,1.000,0.085,5729280.000,nan,1,0,0,nmap,0,1.000,0.085,5782869.333,nan,1,0,0,curl,120,1.000,73.420,3495936.000,nan,2,0,379261318,58.667,170.283,5840365568.000,5865396736.000,27.046,27.145,nan,nan,25,0
shasum,0,1.000,0.083,5770581.333,nan,1,0,0,nmap,0,1.000,0.080,5568682.667,nan,1,0,0,curl,120,1.000,67.253,44865365.333,nan,2,0,375058844,64.200,164.983,5869645824.000,5888181760.000,27.164,27.236,nan,nan,30,0
shasum,0,1.000,0.079,5828632.381,nan,1,0,0,nmap,0,1.000,0.084,5686515.810,nan,1,0,0,curl,140,1.000,74.388,3341858.133,nan,1,0,375115489,63.267,189.717,5821917184.000,5845836288.000,26.974,27.067,nan,nan,25,0
shasum,0,1.000,0.080,5837994.667,nan,1,0,0,nmap,0,1.000,0.080,5749077.333,nan,1,0,0,curl,140,1.000,79.398,3887018.667,nan,2,0,378607965,64.400,182.500,5885255680.000,5905260544.000,27.226,27.305,nan,nan,30,0
shasum,0,1.000,0.087,5964458.667,nan,1,0,0,nmap,0,1.000,0.091,5768533.333,nan,1,0,0,curl,140,1.000,74.631,50831360.000,nan,2,0,378525289,63.733,176.283,5881526272.000,5899634176.000,27.213,27.283,nan,nan,30,0
shasum,0,1.000,0.079,5987328.000,nan,1,0,0,nmap,0,1.000,0.077,5750784.000,nan,1,0,0,curl,160,1.000,77.844,3963460.267,nan,1,0,376646519,65.667,204.983,5849655296.000,5851813376.000,27.085,27.093,nan,nan,25,0
shasum,0,1.000,0.080,5895168.000,nan,1,0,0,nmap,0,1.000,0.086,5797717.333,nan,1,0,0,curl,160,1.000,83.408,3501226.667,nan,2,0,379962977,64.667,194.150,5825056768.000,5847129088.000,26.989,27.075,nan,nan,30,0
shasum,0,1.000,0.078,5931349.333,nan,1,0,0,nmap,0,1.000,0.090,5723818.667,nan,1,0,0,curl,160,1.000,80.281,57984170.667,nan,2,0,378149245,66.400,185.267,5861691392.000,5883149312.000,27.136,27.219,nan,nan,30,0
shasum,0,1.000,0.078,5996066.133,nan,1,0,0,nmap,0,1.000,0.088,5887122.286,nan,1,0,0,curl,180,1.000,95.332,4187392.000,nan,1,0,379716941,64.667,214.983,5885638656.000,5907595264.000,27.230,27.316,nan,nan,25,0
shasum,0,1.000,0.080,6033237.333,nan,1,0,0,nmap,0,1.000,0.078,5902165.333,nan,1,0,0,curl,180,1.000,95.757,63669418.667,nan,2,0,383328922,66.333,206.800,5877286912.000,5907539968.000,27.198,27.318,nan,nan,30,0
shasum,0,1.000,0.078,5906432.000,nan,1,0,0,nmap,0,1.000,0.078,5970636.800,nan,1,0,0,curl,180,1.000,86.778,64700074.667,nan,2,0,380730798,66.400,197.917,5889628160.000,5915481600.000,27.248,27.350,nan,nan,30,0
shasum,0,1.000,0.078,5906432.000,nan,1,0,0,nmap,0,1.000,0.080,5795781.486,nan,1,0,0,curl,200,1.000,106.153,67896685.714,nan,2,0,384533571,67.533,230.783,5879902208.000,5905682944.000,27.211,27.312,nan,nan,25,0
shasum,0,1.000,0.086,5914624.000,nan,1,0,0,nmap,0,1.000,0.085,5866666.667,nan,1,0,0,curl,200,1.000,100.090,68953600.000,nan,2,0,382622090,64.067,213.067,5872531456.000,5901426176.000,27.181,27.294,nan,nan,30,0
shasum,0,1.000,0.082,5919061.333,nan,1,0,0,nmap,0,1.000,0.078,5785990.095,nan,1,0,0,curl,200,1.000,92.715,69730986.667,nan,2,0,383486153,63.400,204.733,5871255552.000,5897991680.000,27.176,27.281,nan,nan,30,0
shasum,0,1.000,0.090,5874688.000,nan,1,0,0,nmap,20,1.000,87.191,14031189.333,nan,1,0,96494148,curl,0,1.000,0.381,29073408.000,nan,1,0,0,63.200,147.117,5866444800.000,5868446208.000,27.158,27.170,nan,nan,25,0
shasum,0,1.000,0.098,5898581.333,nan,1,0,0,nmap,20,1.000,87.710,3386368.000,nan,2,0,96660035,curl,0,1.000,0.097,29073408.000,nan,1,0,0,65.533,145.733,5839665152.000,5831077376.000,27.062,27.027,nan,nan,30,0
shasum,0,1.000,0.092,5907456.000,nan,1,0,0,nmap,20,1.000,81.889,3440640.000,nan,2,0,94511414,curl,0,1.000,0.104,26522965.333,nan,1,0,0,64.067,140.600,5828622336.000,5840757760.000,27.019,27.054,nan,nan,30,0
shasum,0,1.000,0.080,5910528.000,nan,1,0,0,nmap,20,1.000,93.846,9736484.571,nan,1,0,104988419,curl,20,1.000,15.883,30994602.667,nan,1,0,382951430,61.733,177.683,5878065152.000,5877506560.000,27.191,27.187,nan,nan,25,0
shasum,0,1.000,0.092,5926912.000,nan,1,0,0,nmap,20,1.000,88.211,3806208.000,nan,2,0,100534947,curl,20,1.000,17.632,29211818.667,nan,1,0,383243812,67.867,174.483,5890930688.000,5887784960.000,27.238,27.223,nan,nan,30,0
shasum,0,1.000,0.091,5926912.000,nan,1,0,0,nmap,20,1.000,84.821,3599018.667,nan,2,0,100790060,curl,20,1.000,16.759,3602432.000,nan,2,0,381658655,66.867,167.983,5813590016.000,5816843264.000,26.927,26.939,nan,nan,30,0
shasum,0,1.000,0.080,5940224.000,nan,1,0,0,nmap,20,1.000,78.242,3517513.143,nan,2,0,99314352,curl,40,1.000,26.702,33003520.000,nan,2,0,381358509,64.867,176.854,5869854720.000,5876228608.000,27.155,27.178,nan,nan,30,0
shasum,0,1.000,0.075,5935104.000,nan,1,0,0,nmap,20,1.000,89.828,4036437.333,nan,2,0,100583226,curl,40,1.000,31.227,33216682.667,nan,1,0,383298143,66.067,191.300,5891631104.000,5892086784.000,27.242,27.242,nan,nan,25,0
shasum,0,1.000,0.089,5982208.000,nan,1,0,0,nmap,20,1.000,83.290,3994197.333,nan,2,0,95499541,curl,40,1.000,29.092,33535146.667,nan,2,0,384904594,65.800,184.017,5891387392.000,5892993024.000,27.242,27.247,nan,nan,30,0
shasum,0,1.000,0.082,5984256.000,nan,1,0,0,nmap,20,1.000,88.543,3598421.333,nan,1,0,97375469,curl,60,1.000,38.599,37490614.857,nan,1,0,379001851,66.933,206.867,5885229056.000,5885984768.000,27.219,27.220,nan,nan,25,0
shasum,0,1.000,0.082,5984256.000,nan,1,0,0,nmap,20,1.000,83.552,3707733.333,nan,2,0,101026871,curl,60,1.000,37.770,38348117.333,nan,2,0,378157673,66.667,198.617,5885075456.000,5892975104.000,27.220,27.251,nan,nan,30,0
shasum,0,1.000,0.083,5994769.067,nan,1,0,0,nmap,20,1.000,76.840,3342506.667,nan,2,0,100798821,curl,60,1.000,35.896,37586944.000,nan,2,0,380063584,69.267,191.967,5837705216.000,5839489024.000,27.031,27.036,nan,nan,30,0
shasum,0,1.000,0.085,6028970.667,nan,1,0,0,nmap,20,1.000,87.266,3705856.000,nan,1,0,106433205,curl,80,1.000,48.431,5076821.333,nan,1,0,376762569,67.267,218.633,5861160960.000,5869177344.000,27.130,27.161,nan,nan,25,0
shasum,0,1.000,0.081,6053717.333,nan,1,0,0,nmap,20,1.000,81.606,4222805.333,nan,2,0,107114939,curl,80,1.000,45.065,3703296.000,nan,2,0,377565909,67.867,207.917,5866070016.000,5878398464.000,27.143,27.191,nan,nan,30,0
shasum,0,1.000,0.087,6009417.143,nan,1,0,0,nmap,20,1.000,75.561,3738940.952,nan,2,0,107711569,curl,80,1.000,42.174,3404982.857,nan,2,0,379607417,68.267,200.650,5889794048.000,5893946368.000,27.235,27.251,nan,nan,30,0
shasum,0,1.000,0.082,6052010.667,nan,1,0,0,nmap,20,1.000,83.315,3789141.333,nan,1,0,109706592,curl,100,1.000,58.213,45954730.667,nan,1,0,376449630,68.467,234.317,5903796224.000,5915845120.000,27.301,27.348,nan,nan,25,0
shasum,0,1.000,0.091,6005077.333,nan,1,0,0,nmap,20,1.000,84.017,3860992.000,nan,2,0,112675735,curl,100,1.000,55.054,45963093.333,nan,2,0,378380194,67.200,224.600,5889849344.000,5897054208.000,27.240,27.267,nan,nan,30,0
shasum,0,1.000,0.076,5996544.000,nan,1,0,0,nmap,20,1.000,79.125,3644586.667,nan,2,0,113420548,curl,100,1.000,50.854,46264832.000,nan,2,0,379658579,66.200,213.217,5891389440.000,5898407424.000,27.248,27.274,nan,nan,30,0
shasum,0,1.000,0.069,6090752.000,nan,1,0,0,nmap,20,1.000,87.992,4049305.600,nan,1,0,122316418,curl,120,1.000,63.195,3585058.133,nan,1,0,383948645,69.867,249.933,5905920000.000,5919598080.000,27.310,27.363,nan,nan,40,0
shasum,0,1.000,0.081,6117888.000,nan,1,0,0,nmap,20,1.000,86.671,3950762.667,nan,2,0,122571307,curl,120,1.000,63.794,51368277.333,nan,1,0,382009779,64.133,241.467,5898672128.000,5921015296.000,27.279,27.367,nan,nan,30,0
shasum,0,1.000,0.080,6018901.333,nan,1,0,0,nmap,20,1.000,81.478,3543040.000,nan,2,0,122631904,curl,120,1.000,60.394,51742720.000,nan,2,0,381561379,65.000,229.550,5902264320.000,5916520960.000,27.294,27.349,nan,nan,30,0
shasum,0,1.000,0.081,6057642.667,nan,1,0,0,nmap,20,1.000,83.377,3789721.600,nan,1,0,135591523,curl,140,1.000,73.688,3752311.467,nan,1,0,387168240,67.400,271.968,5895731200.000,5920568832.000,27.269,27.368,nan,nan,25,0
shasum,0,1.000,0.076,5961728.000,nan,1,0,0,nmap,20,1.000,86.195,3833514.667,nan,1,0,131137715,curl,140,1.000,74.805,57231018.667,nan,2,0,384414479,65.133,255.900,5903456256.000,5921913856.000,27.300,27.372,nan,nan,30,0
shasum,0,1.000,0.081,6009173.333,nan,1,0,0,nmap,20,1.000,83.644,3580416.000,nan,2,0,133582910,curl,140,1.000,70.962,57167872.000,nan,2,0,387265705,65.067,245.900,5905862656.000,5925403136.000,27.311,27.386,nan,nan,30,0
shasum,0,1.000,0.082,6112051.200,nan,1,0,0,nmap,20,1.000,80.267,3643172.571,nan,2,0,156016999,curl,160,1.000,74.088,3621785.600,nan,2,0,399508901,65.600,249.150,5827360768.000,5845039104.000,26.998,27.066,nan,nan,30,0
shasum,0,1.000,0.077,6133418.667,nan,1,0,0,nmap,20,1.000,90.969,3526912.000,nan,1,0,142705808,curl,160,1.000,85.345,10009941.333,nan,1,0,390118830,65.067,275.017,5866088448.000,5897117184.000,27.156,27.278,nan,nan,25,0
shasum,0,1.000,0.074,5984256.000,nan,1,0,0,nmap,20,1.000,84.225,3956224.000,nan,2,0,154914241,curl,160,1.000,80.548,61846698.667,nan,2,0,398574959,63.933,263.333,5875472384.000,5900372992.000,27.191,27.289,nan,nan,30,0
shasum,0,1.000,0.076,6019072.000,nan,1,0,0,nmap,20,1.000,81.619,3747584.000,nan,2,0,191307885,curl,180,1.000,85.079,3621137.067,nan,2,0,426317812,62.867,265.500,5884717056.000,5916560384.000,27.231,27.355,nan,nan,30,0
shasum,0,1.000,0.074,6013713.067,nan,1,0,0,nmap,20,1.000,85.884,3718826.667,nan,1,0,179011198,curl,180,1.000,92.403,68407842.133,nan,1,0,410538836,64.000,292.283,5915465728.000,5940357632.000,27.356,27.453,nan,nan,25,0
shasum,0,1.000,0.079,6036821.333,nan,1,0,0,nmap,20,1.000,92.273,3785045.333,nan,1,0,189204952,curl,180,1.000,95.418,3956565.333,nan,2,0,425302324,63.267,291.583,5912250368.000,5934106624.000,27.341,27.426,nan,nan,30,0
shasum,0,1.000,0.074,5994837.333,nan,1,0,0,nmap,20,1.000,84.394,3839146.667,nan,2,0,218917692,curl,200,1.000,94.409,3777109.333,nan,2,0,478506186,63.733,283.500,5897465856.000,5930304000.000,27.282,27.411,nan,nan,30,0
shasum,0,1.000,0.071,6032530.286,nan,1,0,0,nmap,20,1.000,89.074,4033553.067,nan,1,0,222756509,curl,200,1.000,98.917,81355917.410,nan,1,0,472229366,62.333,312.167,5943560192.000,5971153920.000,27.468,27.576,nan,nan,25,0
shasum,0,1.000,0.080,6028629.333,nan,1,0,0,nmap,20,1.000,89.736,3465728.000,nan,1,0,210828509,curl,200,1.000,99.341,78535850.667,nan,1,0,452851194,62.267,297.400,5927247872.000,5954397696.000,27.408,27.513,nan,nan,30,0
shasum,0,1.000,0.095,6057642.667,nan,1,0,0,nmap,40,1.000,162.468,3813105.371,nan,2,0,97621217,curl,0,1.000,0.125,36356096.000,nan,1,0,0,65.467,213.850,5922289664.000,5915070976.000,27.388,27.357,nan,nan,30,0
shasum,0,1.000,0.081,6013952.000,nan,1,0,0,nmap,40,1.000,148.862,3804672.000,nan,2,0,96895401,curl,0,1.000,0.086,36298410.667,nan,1,0,0,65.333,206.633,5895004160.000,5893298176.000,27.276,27.269,nan,nan,30,0
shasum,0,1.000,0.087,6030404.267,nan,1,0,0,nmap,40,1.000,170.027,9006933.333,nan,1,0,97235229,curl,0,1.000,0.076,34971648.000,nan,1,0,0,61.533,226.433,5903003648.000,5898371584.000,27.318,27.296,nan,nan,25,0
shasum,0,1.000,0.078,6106794.667,nan,1,0,0,nmap,40,1.000,167.305,4085162.667,nan,2,0,99078338,curl,20,1.000,14.591,37678933.333,nan,1,0,389367072,63.867,237.767,5893126144.000,5895082496.000,27.272,27.279,nan,nan,30,0
shasum,0,1.000,0.079,6140245.333,nan,1,0,0,nmap,40,1.000,155.527,3912362.667,nan,2,0,99432157,curl,20,1.000,13.158,3652608.000,nan,2,0,379432183,66.067,228.050,5905160192.000,5919742976.000,27.324,27.379,nan,nan,30,0
shasum,0,1.000,0.082,5962459.429,nan,1,0,0,nmap,40,1.000,169.734,3935436.800,nan,1,0,102998697,curl,20,1.000,14.689,3310999.162,nan,1,0,383362347,64.267,250.283,5939857408.000,5938717184.000,27.464,27.456,nan,nan,25,0
shasum,0,1.000,0.077,5981184.000,nan,1,0,0,nmap,40,1.000,172.807,3451392.000,nan,1,0,114494635,curl,40,1.000,24.646,38263637.333,nan,2,0,385032222,64.933,257.067,5941673984.000,5943401472.000,27.470,27.475,nan,nan,30,0
shasum,0,1.000,0.087,6025216.000,nan,1,0,0,nmap,40,1.000,160.442,3600981.333,nan,2,0,112801907,curl,40,1.000,22.719,3671466.667,nan,2,0,387182326,66.200,242.487,5945266176.000,5950339584.000,27.485,27.503,nan,nan,30,0
shasum,0,1.000,0.074,6030404.267,nan,1,0,0,nmap,40,1.000,171.849,3774122.667,nan,1,0,109555436,curl,40,1.000,26.509,3777536.000,nan,1,0,380837727,67.400,268.617,5975107584.000,5969122816.000,27.608,27.584,nan,nan,25,0
shasum,0,1.000,0.079,6045525.333,nan,1,0,0,nmap,40,1.000,167.197,4051968.000,nan,2,0,128587330,curl,60,1.000,33.557,42467840.000,nan,2,0,388015826,63.467,266.217,5877260288.000,5884871680.000,27.218,27.247,nan,nan,30,0
shasum,0,1.000,0.086,6047573.333,nan,1,0,0,nmap,40,1.000,161.055,3474261.333,nan,2,0,127346617,curl,60,1.000,30.489,3713024.000,nan,2,0,385431483,66.000,251.600,5886271488.000,5905715712.000,27.255,27.330,nan,nan,30,0
shasum,0,1.000,0.079,6105770.667,nan,1,0,0,nmap,40,1.000,176.737,3567786.667,nan,1,0,127901045,curl,60,1.000,36.267,43953152.000,nan,1,0,387549792,63.267,281.317,5913323520.000,5920952832.000,27.363,27.391,nan,nan,25,0
shasum,0,1.000,0.074,6167210.667,nan,1,0,0,nmap,40,1.000,168.945,4196010.667,nan,2,0,149500460,curl,80,1.000,41.270,47297877.333,nan,2,0,389675172,63.933,278.567,5919451136.000,5924934144.000,27.386,27.407,nan,nan,30,0
shasum,0,1.000,0.077,5957461.333,nan,1,0,0,nmap,40,1.000,161.865,4040618.667,nan,2,0,165849142,curl,80,1.000,40.408,47714304.000,nan,2,0,390932822,62.867,269.183,5874120704.000,5891436544.000,27.209,27.275,nan,nan,30,0
shasum,0,1.000,0.072,5977287.924,nan,1,0,0,nmap,40,1.000,176.893,3910997.333,nan,1,0,139306997,curl,80,1.000,40.081,3809060.571,nan,1,0,386960259,64.000,293.883,5897680896.000,5910458880.000,27.304,27.353,nan,nan,25,0
shasum,0,1.000,0.077,5992448.000,nan,1,0,0,nmap,40,1.000,167.426,3789738.667,nan,1,0,189866131,curl,100,1.000,51.771,3911680.000,nan,1,0,397658134,62.933,295.533,5911420928.000,5924889088.000,27.357,27.408,nan,nan,30,0
shasum,0,1.000,0.077,6008149.333,nan,1,0,0,nmap,40,1.000,160.377,3710805.333,nan,2,0,234015686,curl,100,1.000,47.755,52483072.000,nan,2,0,397049862,62.933,285.267,5907013632.000,5925609472.000,27.339,27.411,nan,nan,30,0
shasum,0,1.000,0.076,5976917.333,nan,1,0,0,nmap,40,1.000,173.398,3638579.200,nan,1,0,190414075,curl,100,1.000,52.603,3813290.667,nan,1,0,394212322,62.400,306.633,5899202560.000,5911199744.000,27.309,27.356,nan,nan,25,0
shasum,0,1.000,0.078,6020437.333,nan,1,0,0,nmap,40,1.000,168.414,4130645.333,nan,2,0,2638778793,curl,120,1.000,59.479,3622912.000,nan,2,0,436311029,63.600,308.950,5896994816.000,6081073152.000,27.303,28.033,nan,nan,30,0
shasum,0,1.000,0.079,6081024.000,nan,1,0,0,nmap,40,1.000,180.172,3466154.667,nan,1,0,2444506650,curl,120,1.000,63.398,59917263.238,nan,1,0,437034286,63.467,321.900,5963270144.000,6171425280.000,27.569,28.395,nan,nan,25,0
shasum,0,1.000,0.084,6089728.000,nan,1,0,0,nmap,40,1.000,162.819,3931221.333,nan,2,0,2707760105,curl,120,1.000,58.467,57769472.000,nan,2,0,443453166,64.067,297.417,5969637376.000,6152294912.000,27.594,28.319,nan,nan,30,0
shasum,0,1.000,0.087,6018730.667,nan,1,0,0,nmap,40,1.000,167.987,3633322.667,nan,2,0,5838363299,curl,140,1.000,71.073,68004181.333,nan,2,0,567844153,63.600,317.483,5999828992.000,6342678016.000,27.704,29.062,nan,nan,25,0
shasum,0,1.000,0.081,6012928.000,nan,1,0,0,nmap,40,1.000,148.702,273620480.000,nan,2,0,6108945187,curl,140,1.000,68.610,68238165.333,nan,2,0,598881958,65.067,313.700,6081417216.000,6334931968.000,28.018,29.023,nan,nan,25,0
shasum,0,1.000,0.081,6045696.000,nan,1,0,0,nmap,40,0.998,154.269,3865429.333,nan,2,0,6292022438,curl,140,1.000,67.542,3708518.400,nan,2,0,561859131,69.667,310.233,6071648256.000,6371340800.000,27.983,29.174,nan,nan,40,0
shasum,0,1.000,0.085,6040405.333,nan,1,0,0,nmap,40,1.000,150.647,408921429.333,nan,2,0,7273022975,curl,160,1.000,69.259,80505514.667,nan,2,0,2560435794,65.267,307.267,6100115456.000,6447789056.000,28.099,29.484,nan,nan,25,0
shasum,0,1.000,0.070,5918720.000,nan,1,0,0,nmap,40,0.999,134.929,337968674.133,nan,2,0,8171927057,curl,160,1.000,67.608,96143360.000,nan,2,0,1317094014,62.867,327.883,6229518336.000,6547840512.000,28.623,29.892,nan,nan,20,0
shasum,0,1.000,0.078,5918890.667,nan,1,0,0,nmap,40,0.999,153.499,3829845.333,nan,2,0,7529702444,curl,160,1.000,71.619,3651925.333,nan,2,0,2775675102,65.133,312.833,6223200256.000,6584023040.000,28.602,30.037,nan,nan,25,0
shasum,0,1.000,0.072,5923089.067,nan,1,0,0,nmap,40,0.999,181.983,156605952.000,nan,2,0,7970947042,curl,180,1.000,71.686,3656772.267,nan,2,0,7229176850,68.067,354.627,6234802176.000,6492841984.000,28.650,29.673,nan,nan,25,0
shasum,0,1.000,0.079,5956949.333,nan,1,0,0,nmap,40,0.999,173.103,348594176.000,nan,2,0,7141206138,curl,180,1.000,68.269,131385344.000,nan,2,0,7286439108,65.400,359.187,6230306816.000,6572829081.600,28.612,29.984,nan,nan,45,0
shasum,0,1.000,0.077,5979477.333,nan,1,0,0,nmap,40,1.000,151.702,335341568.000,nan,2,0,8192170474,curl,180,0.999,69.773,82554880.000,nan,2,0,5215178262,66.867,318.083,6344210432.000,6646342656.000,29.083,30.286,nan,nan,30,0
shasum,0,1.000,0.073,6000640.000,nan,1,0,0,nmap,40,0.999,166.998,453129420.800,nan,2,0,9422601384,curl,200,1.000,92.944,90720256.000,nan,2,0,7224580344,66.533,374.040,6295457792.000,6737431756.800,28.900,30.664,nan,nan,35,0
shasum,0,1.000,0.077,6040156.648,nan,1,0,0,nmap,40,1.000,151.961,61997056.000,nan,2,0,10024354739,curl,200,0.999,81.461,91678720.000,nan,2,0,6980186028,65.400,350.333,6320797696.000,6569748070.400,28.999,29.992,nan,nan,35,0
shasum,0,1.000,0.077,6016204.800,nan,1,0,0,nmap,40,1.000,177.895,462335590.400,nan,2,0,7713997766,curl,200,1.000,80.659,116381422.933,nan,2,0,8051021119,61.333,360.000,6391568384.000,6808563302.400,29.289,30.950,nan,nan,45,0
shasum,0,1.000,0.072,6000981.333,nan,1,0,0,nmap,60,1.000,257.549,71152981.333,nan,1,0,101677567,curl,0,1.000,0.116,102518784.000,nan,1,0,0,62.200,290.083,6400104448.000,6281216512.000,29.322,28.846,nan,nan,45,0
shasum,0,1.000,0.086,6025898.667,nan,1,0,0,nmap,60,1.000,243.350,51555328.000,nan,1,0,109613537,curl,0,1.000,0.071,4200277.333,nan,1,0,0,58.533,284.000,5882556416.000,5896351744.000,27.244,27.299,nan,nan,30,0
shasum,0,1.000,0.080,6031360.000,nan,1,0,0,nmap,60,1.000,234.994,52428970.667,nan,2,0,114491809,curl,0,1.000,0.081,4404053.333,nan,1,0,0,60.733,276.267,5907087360.000,5916030976.000,27.339,27.376,nan,nan,30,0
